origin,destination,old_distance,distance
DXB,SEZ,,2065
DXB,YYZ,6885,6876
DXB,ZRH,2960,2958
EDI,IAD,,3464
EDI,ORD,,3697
EDI,YYZ,3321,3316
ERI,ORD,,396
EWR,FCO,,4276
EWR,FLL,1066,
EWR,FRA,3860,3854
EWR,GRR,604,
EWR,HKG,8049,
EWR,HNL,4955,
EWR,IAH,1398,
EWR,IND,642,
EWR,LAX,2449,2445
EWR,LHR,3457,
EWR,LIR,2186,
EWR,LIS,3376,3372
EWR,MCI,1090,
EWR,MCO,937,
EWR,MIA,,1086
EWR,MSY,,1165
EWR,MUC,4040,
EWR,NAS,,1097
EWR,NRT,6719,
EWR,ORD,717,
EWR,PHX,2129,
EWR,PWM,,284
EWR,RAK,,3651
EWR,SAN,2420,
EWR,SEA,2395,
EWR,SFO,2560,2555
EWR,SIN,9534,9516
EWR,SJU,,1610
EWR,YHZ,612,
EWR,YOW,,328
EWR,YQB,444,
EWR,YUL,331,330
EWR,YVR,2422,2419
EWR,YYC,2017,2014
EWR,YYT,1157,
EWR,YYZ,347,346
EWR,ZRH,,3930
EZE,GRU,,1069
EZE,IAH,,5072
EZE,YUL,,5620
EZE,YYZ,5572,5576
FAR,ORD,556,
FCO,FRA,596,596
FCO,SFO,,6241
FCO,YUL,4091,4086
FCO,YYZ,4402,4397
FCO,ZRH,430,
FDF,YUL,,2256
FLL,IAH,962,
FLL,YUL,1386,1384
FLL,YYZ,1217,1215
FLR,FRA,447,
FLR,ZRH,,282
FRA,GOT,548,
FRA,HND,,5808
FRA,IAD,,4065
FRA,IAH,5221,
FRA,ISL,1158,
FRA,JFK,3846,
FRA,JNB,5405,5393
FRA,KWI,2475,
FRA,LAX,,5784
FRA,LHR,406,406
FRA,LIS,1165,
FRA,MAA,4719,
FRA,MAD,884,
FRA,MLA,1022,
FRA,MRS,,482
FRA,MUC,,186
FRA,NAP,689,
FRA,NBO,,3920
FRA,NCE,444,
FRA,NQZ,,2673
FRA,ORD,4331,4326
FRA,OSL,,708
FRA,PEK,4840,4833
FRA,PRG,,252
FRA,PVG,5503,
FRA,RSW,,4842
FRA,SFO,5685,5677
FRA,SIN,6384,6378
FRA,SOF,,866
FRA,SVG,,621
FRA,TLS,557,
FRA,TLV,1836,
FRA,TXL,273,
FRA,VCE,360,
FRA,VIE,373,385
FRA,WAW,558,
FRA,YHZ,,3249
FRA,YOW,3718,
FRA,YUL,3639,3634
FRA,YVR,5010,5003
FRA,YYC,4678,4671
FRA,YYZ,3941,3936
FRA,ZAG,457,
FUK,HND,547,
FUK,NRT,580,
GCM,YYZ,1689,1686
GDL,LAX,1308,
GDL,MEX,286,
GDL,ORD,1734,
GDL,SFO,1643,
GLA,YYZ,3283,
GMP,HND,,732
GOT,LHR,656,
GRB,ORD,173,
GRU,MVD,967,
GRU,YUL,,5053
GRU,YYZ,5092,5084
GUA,IAH,1107,
GUA,LAX,2193,
GUM,KSA,1364,
GUM,NRT,1563,
GVA,LHR,,468
GVA,YUL,3670,3665
GVA,YYZ,3979,
HAJ,MUC,304,
HAN,SGN,,708
HBA,MEL,,384
HBA,SYD,,646
HEL,OSL,475,
HKG,ICN,1270,
HKG,ISL,4989,
HKG,MNL,,711
HKG,NRT,1821,
HKG,PEK,1234,
HKG,SFO,6901,6905
HKG,SIN,1601,1591
HKG,YVR,6382,6373
HKG,YYZ,7791,
HKT,SIN,,608
HND,LHR,,5951
HND,OKA,950,
HND,ORD,,6283
HND,SYD,4857,4852
HND,YVR,4697,
HND,YYZ,6428,6420
HNL,IAD,4809,
HNL,LAX,2553,2549
HNL,SAN,2610,
HNL,YVR,2705,2701
HNL,YYZ,,4636
IAD,IND,474,
IAD,JAX,635,
IAD,LAS,2061,
IAD,LAX,2283,
IAD,MCO,758,
IAD,MUC,4255,
IAD,ORD,587,
IAD,ORF,157,
IAD,PDX,2321,
IAD,SAN,2247,
IAD,SEA,2299,
IAD,SFO,2413,2410
IAD,SJU,,1572
IAD,TPA,813,
IAD,YOW,449,
IAD,YUL,488,488
IAD,YVR,,2335
IAD,YYZ,346,346
IAH,LAS,1220,1218
IAH,LAX,1376,1375
IAH,LGA,1414,1413
IAH,LIM,,3141
IAH,LIR,1480,
IAH,MBJ,1350,
IAH,MCI,643,
IAH,MCO,849,
IAH,MEX,765,
IAH,MSY,304,
IAH,MTY,,411
IAH,NAS,,1144
IAH,OKC,,396
IAH,ORD,927,925
IAH,PBC,773,
IAH,PHL,1323,
IAH,PHX,1008,
IAH,PIT,1115,1115
IAH,PTY,1774,
IAH,SAN,1301,
IAH,SFO,1632,1630
IAH,SJC,1605,
IAH,SJO,1562,
IAH,SJU,,2003
IAH,STL,667,
IAH,TUS,935,
IAH,UIO,2357,
IAH,YEG,1855,
IAH,YUL,1583,1581
IAH,YVR,1969,1967
IAH,YYC,1746,1745
IAH,YYZ,1280,1279
ICN,KMI,480,
ICN,NGO,605,
ICN,NRT,,781
ICN,PEK,588,
ICN,SFO,,5640
ICN,SIN,2879,
ICN,SYD,,5176
ICN,TPE,900,907
ICN,YVR,5100,5089
ICN,YYZ,6600,6589
IND,ORD,177,
IND,YYZ,438,438
ISL,LAX,6857,
ISL,LHR,1561,
ISL,MUC,976,
ISL,SIN,5382,
ISL,ULN,3711,
ISL,YYZ,5094,
IST,KGL,,2964
IST,KIX,,5436
IST,MUC,,975
IST,VIE,,777
IST,YVR,,5970
JAC,SFO,,735
JFK,LAX,2469,
JFK,LIS,3359,
JFK,SFO,2580,
JFK,ZRH,,3915
JNB,LHR,5643,
JNB,MRU,,1902
JNB,VFA,,576
JNB,ZRH,,5224
KIN,YYZ,1787,
KIX,SFO,5376,
KIX,TPE,1067,
KIX,YVR,,4923
KIX,YYZ,,6602
KOA,SFO,,2365
KOA,YVR,2744,
KSA,KWA,404,
KWA,MAJ,268,
LAS,ORD,1512,1509
LAS,SFO,412,412
LAS,YUL,2234,2231
LAS,YVR,991,991
LAS,YYC,1038,1039
LAS,YYZ,1939,1937
LAX,LHR,5443,5436
LAX,MZT,1035,
LAX,NRT,5444,
LAX,OGG,2482,
LAX,ORD,1741,1739
LAX,RAR,4682,
LAX,SEA,,954
LAX,SFO,338,337
LAX,SIN,8772,
LAX,SJD,918,
LAX,YUL,2467,2465
LAX,YVR,1081,1080
LAX,YYC,1206,1205
LAX,YYZ,2170,2168
LAX,ZRH,,5917
LCY,ZRH,474,477
LGA,ORD,,730
LGA,YOW,327,
LGA,YUL,324,323
LGA,YYZ,356,355
LHR,LIS,973,
LHR,MUC,585,584
LHR,ORD,3941,
LHR,OSL,749,748
LHR,SFO,,5347
LHR,SIN,6759,
LHR,STR,468,
LHR,SVG,565,
LHR,VCE,719,
LHR,VIE,,790
LHR,WAW,,912
LHR,YEG,4232,
LHR,YHZ,2849,2845
LHR,YOW,3322,3318
LHR,YUL,3241,3237
LHR,YVR,4710,4703
LHR,YYC,4359,4353
LHR,YYT,2311,
LHR,YYZ,3546,3541
LHR,ZAG,849,
LHR,ZRH,,489
LIR,YUL,,2505
LIR,YYZ,2313,2311
LIS,LPA,,826
LIS,MIA,,4143
LIS,MPM,,5212
LIS,MXP,,1024
LIS,NCE,913,
LIS,ORY,893,
LIS,OSL,1721,
LIS,SFO,5669,
LIS,YUL,3254,3249
LIS,YYZ,3567,3562
LYS,YUL,3639,3640
MAD,YYZ,3765,3760
MAN,YYZ,,3420
MBJ,YYZ,1743,1740
MCI,YYZ,837,
MCO,ORD,1005,
MCO,PHL,862,
MCO,SFO,2440,
MCO,YHZ,1498,
MCO,YOW,,1206
MCO,YQB,,1375
MCO,YUL,1246,1246
MCO,YYZ,1057,1056
MEL,SIN,3757,3743
MEL,SYD,,438
MEL,YVR,8202,
MEX,MZT,540,
MEX,ORD,1690,
MEX,YVR,2450,
MEX,YYZ,2018,2015
MIA,ORD,1198,
MIA,YUL,1406,
MIA,YYZ,1236,1235
MKE,YYZ,418,
MMH,SFO,193,
MNL,SIN,1486,
MNL,YVR,,6549
MRS,MUC,,464
MSN,ORD,,108
MSP,ORD,333,
MSY,ORD,838,
MSY,YYZ,1111,
MTY,YYZ,,1686
MUC,ORD,4522,
MUC,PEK,4811,
MUC,PMI,,754
MUC,PVG,5465,
MUC,SFO,,5856
MUC,SIN,,6241
MUC,TXL,312,
MUC,WAW,484,
MUC,YUL,3822,3817
MUC,YVR,5180,5176
MUC,YYC,,4849
MUC,YYZ,4126,4121
MVD,PTY,3388,
MXP,SIN,,6396
MXP,YUL,,3794
MXP,YYZ,,4108
NAS,YYZ,1293,1292
NCE,YUL,3808,
NRT,OKA,983,
NRT,ORD,6262,
NRT,SEA,4760,
NRT,SFO,5115,
NRT,SIN,3336,3324
NRT,YUL,,6425
NRT,YVR,4665,4656
NRT,YYC,4940,
NRT,YYZ,6401,6391
OAK,PHX,643,
OGG,SFO,,2334
OGG,YVR,2672,2669
OGG,YYC,3088,3085
OGG,YYZ,,4581
OKA,TPE,401,
ORD,PDX,1735,1732
ORD,PEK,6562,
ORD,PHL,675,675
ORD,PHX,1439,1435
ORD,PIT,,411
ORD,RDU,646,
ORD,ROC,526,526
ORD,SAN,1720,
ORD,SAT,1042,
ORD,SEA,1715,
ORD,SFO,1842,
ORD,SNA,1722,
ORD,TPA,1014,
ORD,TUL,585,
ORD,YEG,1417,
ORD,YHZ,1234,
ORD,YOW,652,
ORD,YQB,877,
ORD,YUL,745,745
ORD,YVR,1759,1757
ORD,YYC,1381,1380
ORD,YYZ,435,435
ORD,ZRH,4431,
OSL,TOS,693,692
OSL,ZRH,,885
OTP,VIE,530,
PBI,YYZ,1174,
PDX,PHX,1008,
PDX,SFO,550,
PDX,YYC,548,
PEK,SZX,,1219
